#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Atp5j	Atp5j2	10090.ENSMUSP00000023608	10090.ENSMUSP00000125504	0	0.680	0.800	0.356	0.955
Atp5j2	Atp5k	10090.ENSMUSP00000125504	10090.ENSMUSP00000051222	0	0.860	0.800	0.405	0.981
Atp5j2	mt-Atp8	10090.ENSMUSP00000125504	10090.ENSMUSP00000080995	0	0.654	0.800	0	0.927
Atp5j2	mt-Atp6	10090.ENSMUSP00000125504	10090.ENSMUSP00000080996	0	0.808	0.800	0	0.959
Atp5j2	Atp5md	10090.ENSMUSP00000125504	10090.ENSMUSP00000158561	0	0.599	0.720	0	0.882
Atp5j2	Atp5mpl	10090.ENSMUSP00000125504	10090.ENSMUSP00000152618	0	0.723	0.720	0	0.919
Atp5k	Atp5mpl	10090.ENSMUSP00000051222	10090.ENSMUSP00000152618	0	0.599	0.900	0	0.958
Atp5k	mt-Atp8	10090.ENSMUSP00000051222	10090.ENSMUSP00000080995	0	0.687	0.900	0	0.967
Atp5k	Atp5md	10090.ENSMUSP00000051222	10090.ENSMUSP00000158561	0	0.699	0.900	0	0.968
Atp5k	mt-Atp6	10090.ENSMUSP00000051222	10090.ENSMUSP00000080996	0	0.710	0.900	0	0.969
Atp5md	mt-Atp8	10090.ENSMUSP00000158561	10090.ENSMUSP00000080995	0	0.560	0.900	0.065	0.955
Atp5md	mt-Atp6	10090.ENSMUSP00000158561	10090.ENSMUSP00000080996	0	0.734	0.900	0	0.972
Atp5md	Atp5mpl	10090.ENSMUSP00000158561	10090.ENSMUSP00000152618	0	0.595	0.900	0.345	0.971
Atp5mpl	mt-Atp8	10090.ENSMUSP00000152618	10090.ENSMUSP00000080995	0	0.561	0.900	0	0.954
Atp5mpl	mt-Atp6	10090.ENSMUSP00000152618	10090.ENSMUSP00000080996	0	0.729	0.900	0	0.971
Chchd10	Chchd6	10090.ENSMUSP00000151675	10090.ENSMUSP00000032172	0	0.122	0.720	0.281	0.807
Chchd10	Dnajc11	10090.ENSMUSP00000151675	10090.ENSMUSP00000051643	0	0	0.720	0	0.720
Chchd10	Micos13	10090.ENSMUSP00000151675	10090.ENSMUSP00000052908	0	0	0.720	0.361	0.813
Chchd10	Chchd3	10090.ENSMUSP00000151675	10090.ENSMUSP00000070149	0	0.422	0.720	0.290	0.875
Chchd3	Chchd6	10090.ENSMUSP00000070149	10090.ENSMUSP00000032172	0	0.570	0.720	0.932	0.991
Chchd3	Dnajc11	10090.ENSMUSP00000070149	10090.ENSMUSP00000051643	0	0.292	0.720	0	0.793
Chchd3	Micos13	10090.ENSMUSP00000070149	10090.ENSMUSP00000052908	0	0	0.720	0.795	0.940
Chchd3	Micos10	10090.ENSMUSP00000070149	10090.ENSMUSP00000117583	0	0	0.360	0.960	0.973
Chchd6	Dnajc11	10090.ENSMUSP00000032172	10090.ENSMUSP00000051643	0	0.292	0.720	0	0.793
Chchd6	Micos13	10090.ENSMUSP00000032172	10090.ENSMUSP00000052908	0	0	0.720	0.778	0.935
Chchd6	Micos10	10090.ENSMUSP00000032172	10090.ENSMUSP00000117583	0	0	0.360	0.943	0.962
Coa6	Cox5a	10090.ENSMUSP00000058279	10090.ENSMUSP00000000090	0	0.377	0.360	0.105	0.611
Coa6	Uqcr11	10090.ENSMUSP00000058279	10090.ENSMUSP00000020372	0	0.325	0.360	0	0.549
Coa6	Uqcrb	10090.ENSMUSP00000058279	10090.ENSMUSP00000021993	0	0.375	0.360	0	0.582
Coa6	Cox6a2	10090.ENSMUSP00000058279	10090.ENSMUSP00000033049	0	0.282	0.360	0.225	0.612
Coa6	Cox7b	10090.ENSMUSP00000058279	10090.ENSMUSP00000033582	0	0.162	0.360	0	0.440
Coa6	Cox7a2	10090.ENSMUSP00000058279	10090.ENSMUSP00000034881	0	0.130	0.360	0	0.419
Coa6	Cox8a	10090.ENSMUSP00000058279	10090.ENSMUSP00000040717	0	0.111	0.360	0	0.406
Coa6	Cox6a1	10090.ENSMUSP00000058279	10090.ENSMUSP00000047661	0	0.282	0.360	0.225	0.612
Coa6	Uqcrq	10090.ENSMUSP00000058279	10090.ENSMUSP00000053145	0	0.378	0.360	0	0.584
Coa6	Uqcr10	10090.ENSMUSP00000058279	10090.ENSMUSP00000054856	0	0.376	0.360	0	0.583
Coa6	Ndufa4	10090.ENSMUSP00000058279	10090.ENSMUSP00000144932	0	0.105	0.360	0	0.402
Coa6	mt-Cytb	10090.ENSMUSP00000058279	10090.ENSMUSP00000081003	0	0.206	0.360	0	0.470
Coa6	Cox6c	10090.ENSMUSP00000058279	10090.ENSMUSP00000123609	0	0.263	0.360	0	0.508
Coa6	Cox4i2	10090.ENSMUSP00000058279	10090.ENSMUSP00000105446	0	0.281	0.360	0	0.520
